Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
"Music mogul Sean ""Diddy"" Combs once described Microsoft Co-Founder Bill Gates as his hero.",Snopes,https://www.snopes.com/fact-check/diddy-bill-gates-hero/,Unproven,2024-09-26 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcREFeLzVaXiNRxq1caNpzjFJvN_XR7wJNqZUsXrRq7l1S7jZRn9,"['Diddy', 'Bill Gates', 'Music', 'Microsoft', 'Business magnate']"
Microsoft Co-Founder Bill Gates and convicted sex trafficker Ghislaine Maxwell are family members.,Snopes,https://www.snopes.com/fact-check/bill-gates-ghislaine-maxwell-related/,False,2024-08-11 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSFNCZRKWJDa44DUJaM72k4Ci2DhAINYF3q135TP9CBclzSqssC,"['Ghislaine Maxwell', 'Bill Gates', 'Family', 'Sex trafficking', 'Microsoft', 'Microsoft']"
A photograph authentically shows Microsoft Co-Founder Bill Gates attending the 2024 Paris Olympics.,Snopes,https://www.snopes.com/fact-check/photo-bill-gates-at-paris-olympics/,True,2024-08-02 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSsbwGmE597znnaXqgNoXHnOyTrFIrcTML6UBkk4fZPx7KHnAM1,"['Bill Gates', 'Olympic Games', 'Olympic Games Paris 2024', '2024', 'Photograph', 'Paris', 'Microsoft', 'Microsoft', 'Television show']"
마이크로소프트 창립자 빌 게이츠가 구더기로 만든 우유 개발에 투자했다,팩트체크,https://factcheckkorea.afp.com/doc.afp.com.367D4B8,사실 아님,2024-07-31 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRiWKt8VqcBLPr95UoxYXLbIWPElj_AnqkCtS6xd6O5WCtDv6W2,"['Bill Gates', 'Microsoft', ""Cow's milk"", 'Maggot', 'Investment', 'Microsoft']"
Assim ficou a 'Esfera' de Las Vegas após a falha mundial que a Microsoft sofreu.,Observador,https://observador.pt/factchecks/fact-check-apagao-informatico-que-deixou-ecras-de-todo-o-mundo-azuis-afetou-sala-de-espectaculos-a-esfera/,Errado,2024-07-29 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSHp_Jun3aZM9Nat7bdZgWF21UNv3zJg9q6AdPe3oZDPKYFYBh6,"['Sphere', 'World', 'Las Vegas', 'Microsoft']"
"Το τεχνικό πρόβλημα της Microsoft, θα το αποδώσουν σε Ρώσους ή Κινέζους, ενώ μπορεί να είναι μια γενική δοκιμή του Γκέιτς, που είναι κύριος χρηματοδότης του Μπάιντεν και ένθερμος υποστηρικτής των Δημοκρατικών. Κατά σύμπτωση, το WEF μόλις κατέβασε το βίντεο όπου ο Σβαμπ, μιλάει για τον πλήρη έλεγχο του διαδικτύου.",Ellinika Hoaxes,https://www.ellinikahoaxes.gr/2024/07/28/synomosiologia-gyro-apo-to-prosfato-techniko-provlima-pou-epirease-systimata-microsoft-windows-pagkosmios/,"Παραπληροφόρηση, Συνωμοσιολογία",2024-07-28 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQJLmi0RnowN1CNbjdlNXljMxEX6Rg9BdXA44bLR3Iv5CzascRO,"['Microsoft', 'Microsoft', 'Problem', 'Internet', 'World Economic Forum', 'Bill Gates', 'Klaus Schwab', 'Russian']"
To wina Unii Europejskiej. Porozumienie Microsoftu z UE z 2009 r. uniemożliwiło firmie zapobiegnięcie awarii CrowdStrike,OKO.press,https://oko.press/crowdstrike-microsoft-zrzuca-wine-na-unie-europejska,Fałsz,2024-07-27 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSk46hNA2L5Vgkel4a-QvaLGBMX8L5z2J83E3pCnIMXbMDdUMV8,"['Crowdstrike', 'CrowdStrike', 'Microsoft', 'European Union', 'Europe', 'Legal name']"
Microsoft avrebbe ricevuto un attacco informatico che sarebbe stato predetto dal World Economic Forum già nel 2020,Facta.news,https://facta.news/antibufale/2024/07/22/down-microsoft-world-economic-forum/,Notizia falsa,2024-07-22 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQnNqMdRWejg8lXd6FjavrEe_X2Tt5W_Z_ZdOrQ-CXppmuD5S9c,"['Cyberattack', 'Microsoft', 'Microsoft', 'World Economic Forum', 'Computer']"
A photo shows the Las Vegas sphere displaying a Microsoft blue screen error after Microsoft systems outage worldwide occurred.,,https://misbar.com/en/factcheck/2024/07/20/this-image-does-not-show-the-las-vegas-sphere-with-a-windows-error-message,Misleading,2024-07-20 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQADZLISyIDTJgPYwdMORr0avSv46Dl3rn3VJg2nILXIZ9CGJ2f,"['Microsoft', 'Las Vegas', 'Blue screen of death', 'Photograph', 'System', 'Microsoft']"
"Το τεχνικό πρόβλημα της Microsoft, θα το αποδώσουν σε Ρώσους ή Κινέζους, ενώ μπορεί να είναι μια γενική δοκιμή του Γκέιτς, που ειναι κύριος χρηματοδότης του Μπαιντεν και ένθερμος υποστηρικτής των Δημοκρατικών; Κατά σύμπτωση, μόλις το WEF κατέβασε το βίντεο όπου ο Σβαμπ, μιλάει για τον πλήρη έλεγχο του διαδικτύου",Greece Fact Check,https://www.factchecker.gr/2024/07/20/microsoft-outage-gates-and-wef-conspiracy-theory/,Θεωρία Συνωμοσίας,2024-07-20 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSjsC9IXxq8xslN8XsKr_wn356HcCaO4yIkDEAkL_tWom4OIamH,"['World Economic Forum', 'Bill Gates', 'Microsoft', 'Klaus Schwab', 'Problem', 'Internet', 'Video', 'Russian']"
